T1,T2,CE-Word,IF,Word sim.,Hierarchy,Cite-Wang
88,0,0.000,0.000,0.000,0.000,0.000
88,208,0.004,0.000,0.000,0.080,213.103
89,0,0.000,0.000,0.000,0.000,0.000
90,6,0.922,0.000,0.077,0.030,786.944
90,92,0.808,0.000,0.050,0.360,917.958
91,169,0.468,0.001,0.077,0.010,644.716
91,228,0.024,0.001,0.077,2.560,379.581
92,58,0.045,0.000,0.024,0.023,879.033
92,90,0.087,0.000,0.050,0.360,815.353
92,126,0.004,0.000,0.000,0.147,901.121
93,273,0.071,0.001,0.050,0.040,432.415
93,279,0.000,0.000,0.000,0.000,0.000
95,0,0.000,0.000,0.000,0.000,0.000
95,271,0.000,0.000,0.000,0.000,0.000
96,0,0.000,0.000,0.000,0.000,0.000
97,0,0.004,0.000,0.000,0.030,1756.399
97,1,0.525,0.000,0.077,0.403,1711.472
97,150,0.004,0.000,0.000,0.853,1523.052
97,189,0.231,0.000,0.077,0.010,4000.698
97,228,0.652,0.000,0.077,0.150,1540.863
98,99,0.097,0.001,0.105,0.330,1053.502
99,15,0.032,0.000,0.050,0.267,852.918
99,98,0.138,0.000,0.105,0.330,968.787
99,243,0.031,0.001,0.050,1.870,892.515
101,0,0.000,0.000,0.000,0.000,0.000
102,158,0.004,0.000,0.000,0.350,385.261
103,146,0.000,0.000,0.000,0.000,0.000
103,294,0.000,0.000,0.000,0.000,0.000
104,0,0.000,0.000,0.000,0.000,0.000
104,2,0.000,0.000,0.000,0.000,0.000
104,170,0.000,0.000,0.000,0.000,0.000
105,0,0.004,0.000,0.000,0.107,481.668
105,229,0.004,0.000,0.000,0.053,319.339
106,0,0.004,0.000,0.000,0.010,492.321
106,286,0.598,0.001,0.077,2.640,475.011
107,62,0.000,0.000,0.000,0.000,0.000
107,72,0.000,0.000,0.000,0.000,0.000
107,131,0.000,0.000,0.000,0.000,0.000
107,175,0.000,0.000,0.000,0.000,0.000
107,249,0.000,0.000,0.000,0.000,0.000
108,111,0.004,0.000,0.000,0.160,1060.098
108,140,0.034,0.000,0.050,0.650,847.098
110,6,0.099,0.000,0.105,0.160,867.151
110,71,0.004,0.000,0.000,0.150,339.428
111,108,0.004,0.000,0.000,0.160,1179.396
111,160,0.116,0.001,0.105,0.250,1043.694
112,118,0.004,0.000,0.000,0.070,1084.624
112,248,0.005,0.001,0.024,0.280,855.219
117,2,0.000,0.000,0.000,0.000,0.000
117,22,0.036,0.000,0.050,0.147,1375.653
117,43,0.004,0.000,0.000,0.053,2838.816
117,252,0.004,0.000,0.000,0.027,1241.143
117,281,0.004,0.000,0.000,0.950,1707.875
118,68,0.004,0.000,0.000,0.320,945.917
118,73,0.004,0.000,0.000,1.077,1399.908
118,112,0.004,0.000,0.000,0.070,917.440
119,25,0.000,0.000,0.000,0.000,0.000
119,82,0.000,0.000,0.000,0.000,0.000
119,172,0.000,0.000,0.000,0.000,0.000
120,232,0.020,0.001,0.077,0.330,473.436
123,237,0.180,0.000,0.024,0.163,487.998
123,271,0.004,0.000,0.000,0.050,2228.007
124,266,0.058,0.000,0.024,0.280,593.206
126,92,0.004,0.000,0.000,0.147,1040.421
126,204,0.104,0.000,0.077,0.030,3465.312
127,187,0.072,0.001,0.077,0.317,660.403
128,67,0.004,0.000,0.000,0.037,839.068
130,2,0.000,0.000,0.000,0.000,0.000
130,271,0.000,0.000,0.000,0.000,0.000
131,62,0.004,0.000,0.000,0.030,148.471
131,72,0.004,0.000,0.000,0.010,143.408
131,107,0.000,0.000,0.000,0.000,0.000
131,175,0.000,0.000,0.000,0.000,0.000
133,2,0.000,0.000,0.000,0.000,0.000
134,172,0.004,0.000,0.000,0.333,3086.777
136,166,0.004,0.000,0.000,0.120,188.349
138,2,0.000,0.000,0.000,0.000,0.000
140,87,0.087,0.000,0.024,0.600,508.247
